ASSISTANCE_YEAR,ASSISTANCE_TERM,UNIVERSITY,AGE,COUNTY,NUMBER_OF_STUDENTS
2020,1,Nevşehir Hacı Bektaş Veli Üniversitesi,23,ESENYURT,1
2020,1,Akdeniz Üniversitesi,20,GAZİOSMANPAŞA,2
2019,1,Boğaziçi Üniversitesi,22,BAYRAMPAŞA,3
2019,2,Düzce Üniversitesi,22,PENDİK,8
2019,2,Kütahya Dumlupınar Üniversitesi,23,ÜMRANİYE,5
2019,2,Kırklareli Üniversitesi,19,GAZİOSMANPAŞA,3
2020,1,Bezm-İ Âlem Vakıf Üniversitesi,20,EYÜPSULTAN,1
2019,1,Mimar Sinan Güzel Sanatlar Üniversitesi,23,BAĞCILAR,4
2020,1,Işık Üniversitesi,19,BAĞCILAR,1
2020,1,Balıkesir Üniversitesi,23,BAYRAMPAŞA,1
2019,2,Zonguldak Bülent Ecevit Üniversitesi,20,SARIYER,1
2020,1,Aydın Adnan Menderes,23,KÜÇÜKÇEKMECE,1
2019,2,İstanbul Üniversitesi,24,PENDİK,3
2019,1,Akdeniz Üniversitesi,22,KÜÇÜKÇEKMECE,2
2020,1,Ankara Üniversitesi,19,ZEYTİNBURNU,1
2019,2,Tekirdağ Namık Kemal,19,BAŞAKŞEHİR,3
2020,1,Düzce Üniversitesi,20,SANCAKTEPE,13
2019,1,Bartın Üniversitesi,20,ARNAVUTKÖY,1
2020,1,Üsküdar Üniversitesi,20,ÜMRANİYE,4
2019,1,Ondokuz Mayıs Üniversitesi,23,BAYRAMPAŞA,1
2019,1,İstanbul Medipol Üniversitesi,23,TUZLA,1
2019,1,Ordu Üniversitesi,20,KAĞITHANE,1
2019,2,Dokuz Eylül Üniversitesi,20,BAHÇELİEVLER,2
2019,2,Yıldız Teknik Üniversitesi,24,KARTAL,1
2020,1,Pamukkale Üniversitesi,21,BAHÇELİEVLER,1
2019,1,Atatürk Üniversitesi,21,GAZİOSMANPAŞA,2
2019,2,Bilecik Şeyh Edebali Üniversitesi,23,BÜYÜKÇEKMECE,1
2020,1,Sakarya Üniversitesi,19,ESENLER,3
2019,2,Kastamonu Üniversitesi,22,BAĞCILAR,1
2020,1,Yozgat Bozok Üniversitesi,23,SULTANGAZİ,1
2019,2,İstanbul Üniversitesi,19,FATİH,2
2019,2,Hacettepe Üniversitesi,21,BAĞCILAR,1
2019,2,Yıldız Teknik Üniversitesi,21,BEŞİKTAŞ,2
2019,1,Düzce Üniversitesi,23,PENDİK,3
2020,1,Erzincan Binali Yıldırım Üniversitesi,21,KARTAL,1
2019,2,İstanbul Medeniyet Üniversitesi,22,GAZİOSMANPAŞA,6
2020,1,Kocaeli Üniversitesi,21,BEYKOZ,8
2020,1,Muğla Sıtkı Koçman Üniversitesi,20,SULTANBEYLİ,4
2019,1,Eskişehir Osmangazi Üniversitesi,20,MALTEPE,1
2020,1,Boğaziçi Üniversitesi,21,KÜÇÜKÇEKMECE,2
2020,1,Kastamonu Üniversitesi,23,ARNAVUTKÖY,1
2019,2,Bandırma Onyedi Eylül,21,BAĞCILAR,1
2020,1,Sakarya Uygulamalı Bilimler Üniversitesi,19,SULTANBEYLİ,8
2019,1,Piri Reis Üniversitesi,20,MALTEPE,2
2019,2,Atatürk Üniversitesi,25,BEYLİKDÜZÜ,1
2019,2,Yıldız Teknik Üniversitesi,22,BAŞAKŞEHİR,2
2020,1,Nevşehir Hacı Bektaş Veli Üniversitesi,20,BAĞCILAR,1
2019,2,İstanbul Üniversitesi-Cerrahpaşa,19,BAĞCILAR,2
2019,1,Mardin Artuklu Üniversitesi,24,AVCILAR,1
2020,1,Atatürk Üniversitesi,20,KARTAL,2
2020,1,Gebze Teknik Üniversitesi,19,ATAŞEHİR,3
2019,2,Mimar Sinan Güzel Sanatlar Üniversitesi,20,ESENLER,1
2020,1,Yıldız Teknik Üniversitesi,20,SARIYER,9
2019,1,Kırklareli Üniversitesi,21,PENDİK,2
2020,1,İstanbul Üniversitesi-Cerrahpaşa,25,KÜÇÜKÇEKMECE,1
2020,1,Beykent Üniversitesi,20,AVCILAR,1
2019,1,Tekirdağ Namık Kemal,21,SANCAKTEPE,4
2019,1,Zonguldak Bülent Ecevit Üniversitesi,19,ÜMRANİYE,1
2020,1,Nişantaşı Üniversitesi,25,BAĞCILAR,1
2020,1,İstanbul Sağlık ve Teknoloji Üniversitesi,18,KÜÇÜKÇEKMECE,1
2020,1,Tokat Gaziosmanpaşa,24,SULTANGAZİ,2
2019,1,Altınbaş Üniversitesi,25,KÜÇÜKÇEKMECE,1
2019,1,Nişantaşı Üniversitesi,20,ESENLER,1
2019,1,Tekirdağ Namık Kemal,21,EYÜPSULTAN,2
2020,1,Aksaray Üniversitesi,20,ARNAVUTKÖY,1
2019,2,Gebze Teknik Üniversitesi,25,ÜMRANİYE,1
2020,1,Van Yüzüncü Yıl Üniversitesi,21,BAĞCILAR,2
2019,2,Balıkesir Üniversitesi,20,SULTANGAZİ,2
2020,1,Çankaya Üniversitesi,19,KAĞITHANE,1
2019,1,Düzce Üniversitesi,22,ATAŞEHİR,2
2020,1,Beykent Üniversitesi,20,BEYLİKDÜZÜ,4
2019,2,Yalova Üniversitesi,20,ARNAVUTKÖY,1
2019,1,Gazi Üniversitesi,24,PENDİK,1
2019,2,Trakya Üniversitesi,24,SANCAKTEPE,1
2020,1,Kastamonu Üniversitesi,21,ŞİŞLİ,1
2019,1,Dokuz Eylül Üniversitesi,20,ÜSKÜDAR,1
2019,2,Hitit Üniversitesi,21,BAŞAKŞEHİR,2
2019,2,İstanbul Üniversitesi,24,ÇEKMEKÖY,1
2020,1,Ankara Üniversitesi,18,SULTANGAZİ,1
2020,1,Marmara Üniversitesi,24,ATAŞEHİR,7
2020,1,Ondokuz Mayıs Üniversitesi,22,AVCILAR,1
2019,2,Zonguldak Bülent Ecevit Üniversitesi,22,ÜSKÜDAR,1
2020,1,Selçuk Üniversitesi,23,KAĞITHANE,1
2020,1,Sakarya Üniversitesi,24,ESENYURT,1
2019,2,Burdur Mehmet Akif Ersoy Üniversitesi,19,ESENYURT,1
2020,1,Afyon Kocatepe Üniversitesi,20,SANCAKTEPE,1
2019,1,Giresun Üniversitesi,22,ZEYTİNBURNU,1
2020,1,Anadolu Üniversitesi,19,BAHÇELİEVLER,2
2019,1,Yıldız Teknik Üniversitesi,21,ATAŞEHİR,1
2019,1,Manisa Celâl Bayar Üniversitesi,22,BEYLİKDÜZÜ,1
2020,1,Ondokuz Mayıs Üniversitesi,22,KÜÇÜKÇEKMECE,3
2020,1,Eskişehir Osmangazi Üniversitesi,20,SİLİVRİ,1
2020,1,Zonguldak Bülent Ecevit Üniversitesi,24,FATİH,1
2020,1,İstanbul Medipol Üniversitesi,20,ESENLER,4
2019,1,Haliç Üniversitesi,22,FATİH,1
2019,1,Amasya Üniversitesi,24,EYÜPSULTAN,1
2019,2,Balıkesir Üniversitesi,25,TUZLA,1
2020,1,Çanakkale Onsekiz Mart Üniversitesi,19,SULTANGAZİ,5
2020,1,Galatasaray Üniversitesi,20,ESENYURT,1
2019,2,Kütahya Dumlupınar Üniversitesi,23,BAŞAKŞEHİR,1
2019,1,İstanbul Üniversitesi-Cerrahpaşa,19,ÜMRANİYE,1
2019,1,İstanbul Medeniyet Üniversitesi,19,BÜYÜKÇEKMECE,1
2020,1,Eskişehir Teknik Üniversitesi,20,ESENYURT,3
2019,1,İstanbul Esenyurt Üniversitesi,21,KÜÇÜKÇEKMECE,3
2019,1,İnönü Üniversitesi,24,ÜMRANİYE,1
2020,1,Tekirdağ Namık Kemal,21,ATAŞEHİR,1
2019,2,Düzce Üniversitesi,25,KARTAL,1
2019,1,Kırşehir Ahi Evran Üniversitesi,23,BAĞCILAR,1
2019,2,Balıkesir Üniversitesi,18,ARNAVUTKÖY,1
2019,1,Akdeniz Üniversitesi,20,BAĞCILAR,1
2019,2,Marmara Üniversitesi,20,KADIKÖY,5
2019,2,Trakya Üniversitesi,22,PENDİK,8
2019,2,İstanbul Üniversitesi-Cerrahpaşa,21,BEYLİKDÜZÜ,4
2020,1,Zonguldak Bülent Ecevit Üniversitesi,20,GAZİOSMANPAŞA,1
2020,1,Sakarya Uygulamalı Bilimler Üniversitesi,19,MALTEPE,2
2019,2,Çanakkale Onsekiz Mart Üniversitesi,20,MALTEPE,6
2020,1,Yıldız Teknik Üniversitesi,20,BAKIRKÖY,6
2019,1,Ege Üniversitesi,21,BAŞAKŞEHİR,1
2019,2,Çanakkale Onsekiz Mart Üniversitesi,25,KARTAL,1
2019,2,İstanbul Gelişim Üniversitesi,23,EYÜPSULTAN,1
2020,1,Yozgat Bozok Üniversitesi,21,ATAŞEHİR,1
2019,1,Yıldız Teknik Üniversitesi,19,ŞİŞLİ,3
2020,1,Haliç Üniversitesi,18,BEYOĞLU,3
2019,1,Ondokuz Mayıs Üniversitesi,19,BEYLİKDÜZÜ,1
2020,1,Hakkari Üniversitesi,24,SULTANBEYLİ,1
2019,1,İstanbul Medeniyet Üniversitesi,25,ÜMRANİYE,1
2019,1,Yıldız Teknik Üniversitesi,23,ÜMRANİYE,1
2020,1,Bilecik Şeyh Edebali Üniversitesi,18,BAĞCILAR,1
2020,1,Zonguldak Bülent Ecevit Üniversitesi,21,ÇEKMEKÖY,3
2019,1,Marmara Üniversitesi,26,KÜÇÜKÇEKMECE,1
2019,1,İstanbul Medeniyet Üniversitesi,24,ÇEKMEKÖY,2
2020,1,Trakya Üniversitesi,23,ÜSKÜDAR,1
2020,1,Marmara Üniversitesi,19,EYÜPSULTAN,7
2020,1,Ege Üniversitesi,23,ÇEKMEKÖY,1
2020,1,Gebze Teknik Üniversitesi,22,EYÜPSULTAN,1
2019,2,Kırklareli Üniversitesi,19,ÇATALCA,1
2020,1,Kocaeli Üniversitesi,18,GAZİOSMANPAŞA,2
2019,1,Marmara Üniversitesi,25,KARTAL,5
2020,1,Boğaziçi Üniversitesi,20,FATİH,2
2020,1,İstanbul Medeniyet Üniversitesi,18,ATAŞEHİR,1
2019,1,Tekirdağ Namık Kemal,22,BÜYÜKÇEKMECE,3
2020,1,Özyeğin Üniversitesi,21,SULTANBEYLİ,1
2020,1,Çanakkale Onsekiz Mart Üniversitesi,20,SANCAKTEPE,10
2019,1,Üsküdar Üniversitesi,21,ÜSKÜDAR,2
2020,1,Erciyes Üniversitesi,22,ÜSKÜDAR,1
2019,1,İstanbul Üniversitesi-Cerrahpaşa,21,SİLİVRİ,2
2020,1,Sakarya Üniversitesi,23,BEYLİKDÜZÜ,1
2020,1,Marmara Üniversitesi,25,ÇEKMEKÖY,1
2020,1,İstanbul Kültür Üniversitesi,20,EYÜPSULTAN,3
2019,2,Karadeniz Teknik Üniversitesi,22,ÜMRANİYE,1
2019,2,Kütahya Dumlupınar Üniversitesi,22,ÇEKMEKÖY,1
2019,2,Bartın Üniversitesi,23,BÜYÜKÇEKMECE,1
2020,1,İstinye Üniversitesi,22,AVCILAR,1
2019,2,Sivas Cumhuriyet Üniversitesi,20,BAĞCILAR,1
2020,1,Sivas Cumhuriyet Üniversitesi,22,PENDİK,1
2019,1,Ondokuz Mayıs Üniversitesi,21,SULTANBEYLİ,1
2019,2,Ege Üniversitesi,20,BAŞAKŞEHİR,1
2019,2,İbn Haldun Üniversitesi,21,ESENYURT,1
2019,1,Sağlık Bilimleri Üniversitesi,22,KAĞITHANE,2
2020,1,Harran Üniversitesi,21,GAZİOSMANPAŞA,1
2020,1,Boğaziçi Üniversitesi,18,ÜMRANİYE,2
2020,1,Bahçeşehir Üniversitesi,24,ÜSKÜDAR,1
2019,2,Sağlık Bilimleri Üniversitesi,25,PENDİK,1
2019,1,Aydın Adnan Menderes,21,ESENYURT,2
2020,1,Afyon Kocatepe Üniversitesi,18,GÜNGÖREN,1
2019,2,Sivas Cumhuriyet Üniversitesi,22,BEYLİKDÜZÜ,1
2020,1,Eskişehir Osmangazi Üniversitesi,21,AVCILAR,1
2020,1,Düzce Üniversitesi,20,EYÜPSULTAN,1
2019,1,Maltepe Üniversitesi,21,ATAŞEHİR,1
2019,2,Yıldız Teknik Üniversitesi,20,GAZİOSMANPAŞA,5
2020,1,İstanbul Bilgi Üniversitesi,22,GÜNGÖREN,2
2019,2,Bartın Üniversitesi,21,BAŞAKŞEHİR,2
2020,1,Beykent Üniversitesi,21,ESENYURT,3
2019,2,Ege Üniversitesi,21,BAĞCILAR,2
2019,2,Eskişehir Osmangazi Üniversitesi,21,ESENLER,1
2019,2,Kırıkkale Üniversitesi,19,SİLİVRİ,1
2019,1,Hacettepe Üniversitesi,21,BAŞAKŞEHİR,2
2019,2,Sakarya Üniversitesi,23,GÜNGÖREN,1
2019,2,Bilecik Şeyh Edebali Üniversitesi,20,ÇEKMEKÖY,2
2020,1,Dokuz Eylül Üniversitesi,19,BAŞAKŞEHİR,1
2020,1,İstanbul Ticaret Üniversitesi,21,ÜMRANİYE,2
2019,2,Kocaeli Üniversitesi,21,ŞİLE,1
2019,2,İstanbul Üniversitesi,22,TUZLA,4
2020,1,Aydın Adnan Menderes,20,ÜMRANİYE,1
2019,1,Tekirdağ Namık Kemal,23,BEYOĞLU,1
2020,1,Demiroğlu Bilim Üniversitesi,19,ÜMRANİYE,1
2019,1,Kırklareli Üniversitesi,20,GAZİOSMANPAŞA,1
2020,1,İstanbul Teknik Üniversitesi,22,KAĞITHANE,17
2019,2,Kastamonu Üniversitesi,21,BAŞAKŞEHİR,2
2019,2,Marmara Üniversitesi,19,SULTANBEYLİ,3
2020,1,İstanbul Teknik Üniversitesi,22,BEYOĞLU,4
2019,2,Yozgat Bozok Üniversitesi,20,BAĞCILAR,1
2019,2,Kırklareli Üniversitesi,24,AVCILAR,4
2020,1,Fatih Sultan Mehmet Vakıf Üniversitesi,21,ATAŞEHİR,1
2019,1,Karadeniz Teknik Üniversitesi,21,ATAŞEHİR,1
2020,1,Aydın Adnan Menderes,20,BAŞAKŞEHİR,1
2019,1,Mimar Sinan Güzel Sanatlar Üniversitesi,21,BAYRAMPAŞA,1
2019,1,Kocaeli Üniversitesi,19,SULTANGAZİ,1
2020,1,Bolu Abant İzzet Baysal Üniversitesi,23,FATİH,1
2019,2,Yıldız Teknik Üniversitesi,22,ARNAVUTKÖY,1
2020,1,Sakarya Üniversitesi,24,FATİH,1
2019,2,Kırklareli Üniversitesi,23,ÜMRANİYE,1
2019,1,Mimar Sinan Güzel Sanatlar Üniversitesi,24,BAŞAKŞEHİR,1
2020,1,Fatih Sultan Mehmet Vakıf Üniversitesi,24,ESENLER,1
2020,1,Bartın Üniversitesi,20,BAĞCILAR,3
2019,1,İstinye Üniversitesi,21,AVCILAR,1
2019,2,Zonguldak Bülent Ecevit Üniversitesi,20,ÜMRANİYE,4
2020,1,İstanbul Ayvansaray Üniversitesi,21,SANCAKTEPE,1
2019,2,İstanbul Teknik Üniversitesi,22,BAHÇELİEVLER,2
2019,1,Zonguldak Bülent Ecevit Üniversitesi,20,PENDİK,3
2019,2,Türk-Alman Üniversitesi,23,MALTEPE,2
2020,1,Süleyman Demirel Üniversitesi,21,BEYOĞLU,1
2019,2,Bursa Uludağ Üniversitesi,24,ÜSKÜDAR,1
2019,2,Kastamonu Üniversitesi,25,FATİH,1
2020,1,İstanbul Okan Üniversitesi,20,ÇEKMEKÖY,1
2020,1,Isparta Uygulamalı Bilimler Üniversitesi,19,ZEYTİNBURNU,2
2019,1,Manisa Celâl Bayar Üniversitesi,20,ÇEKMEKÖY,1
2020,1,Yalova Üniversitesi,22,KARTAL,2
2020,1,Bahçeşehir Üniversitesi,20,GAZİOSMANPAŞA,1
2020,1,Zonguldak Bülent Ecevit Üniversitesi,23,GÜNGÖREN,2
2019,2,Atatürk Üniversitesi,19,KÜÇÜKÇEKMECE,1
2019,1,Ordu Üniversitesi,19,BAŞAKŞEHİR,1
2020,1,Erciyes Üniversitesi,19,ÇEKMEKÖY,1
2019,1,Sivas Cumhuriyet Üniversitesi,21,PENDİK,2
2020,1,Bilecik Şeyh Edebali Üniversitesi,21,SİLİVRİ,1
2019,2,Konya Teknik Üniversitesi,20,BAHÇELİEVLER,1
2020,1,Kütahya Dumlupınar Üniversitesi,24,AVCILAR,1
2020,1,Eskişehir Osmangazi Üniversitesi,22,SARIYER,2
2019,2,Burdur Mehmet Akif Ersoy Üniversitesi,19,FATİH,1
2019,1,Trakya Üniversitesi,24,ÇATALCA,2
2020,1,Işık Üniversitesi,20,SULTANGAZİ,1
2019,2,Yıldız Teknik Üniversitesi,22,ATAŞEHİR,1
2019,1,Ordu Üniversitesi,20,ZEYTİNBURNU,1
2020,1,Beykoz Üniversitesi,21,GAZİOSMANPAŞA,1
2020,1,Kapadokya Üniversitesi,19,ÜSKÜDAR,1
2020,1,İstanbul Üniversitesi-Cerrahpaşa,26,SARIYER,1
2019,1,Beykent Üniversitesi,22,GAZİOSMANPAŞA,1
2019,2,Bilecik Şeyh Edebali Üniversitesi,20,MALTEPE,1
2019,2,Trakya Üniversitesi,24,GÜNGÖREN,2
2019,1,Sakarya Uygulamalı Bilimler Üniversitesi,21,BAŞAKŞEHİR,3
2019,1,İstanbul Sabahattin Zaim Üniversitesi,20,BAĞCILAR,1
2020,1,Balıkesir Üniversitesi,21,KÜÇÜKÇEKMECE,2
2020,1,Fatih Sultan Mehmet Vakıf Üniversitesi,20,KAĞITHANE,2
2019,1,Türk-Alman Üniversitesi,20,BEYKOZ,2
2020,1,Tekirdağ Namık Kemal,23,GAZİOSMANPAŞA,5
2019,1,Balıkesir Üniversitesi,21,GAZİOSMANPAŞA,1
2020,1,Pamukkale Üniversitesi,22,ESENYURT,3
2020,1,Boğaziçi Üniversitesi,22,SARIYER,5
2020,1,Kırklareli Üniversitesi,18,ESENLER,3
2020,1,Fatih Sultan Mehmet Vakıf Üniversitesi,23,KADIKÖY,1
2019,1,Ankara Üniversitesi,18,SANCAKTEPE,1
2020,1,Tokat Gaziosmanpaşa,22,ESENYURT,1
2020,1,Yeditepe Üniversitesi,19,PENDİK,1
2020,1,Uşak Üniversitesi,22,ESENYURT,2
2019,1,Yeditepe Üniversitesi,20,KÜÇÜKÇEKMECE,1
2020,1,Çanakkale Onsekiz Mart Üniversitesi,19,KADIKÖY,3
2020,1,Selçuk Üniversitesi,21,BAYRAMPAŞA,2
2019,1,Bursa Teknik Üniversitesi,21,BAŞAKŞEHİR,1
2019,1,Marmara Üniversitesi,24,GÜNGÖREN,1
2020,1,İstanbul Gedik Üniversitesi,20,BEYLİKDÜZÜ,1
2020,1,Ankara Medipol Üniversitesi,19,BAŞAKŞEHİR,1
2020,1,Piri Reis Üniversitesi,22,SARIYER,1
2019,1,Gebze Teknik Üniversitesi,25,BAHÇELİEVLER,1
2020,1,Çanakkale Onsekiz Mart Üniversitesi,20,ESENLER,9
2020,1,Gümüşhane Üniversitesi,22,ESENYURT,1
2019,1,Kütahya Dumlupınar Üniversitesi,19,BAĞCILAR,2
2019,1,Necmettin Erbakan Üniversitesi,21,PENDİK,2
2020,1,Süleyman Demirel Üniversitesi,20,BAKIRKÖY,1
2019,2,İzmir Katip Çelebi Üniversitesi,24,ESENYURT,1
2019,1,Sakarya Üniversitesi,24,MALTEPE,2
2019,1,Konya Teknik Üniversitesi,20,ÜSKÜDAR,1
2019,2,Yalova Üniversitesi,21,SULTANBEYLİ,4
2020,1,İstanbul Teknik Üniversitesi,20,BAYRAMPAŞA,2
2020,1,Mersin Üniversitesi,25,ZEYTİNBURNU,1
2020,1,Bingöl Üniversitesi,21,FATİH,1
2020,1,Gebze Teknik Üniversitesi,20,SULTANBEYLİ,1
2019,1,İstanbul Teknik Üniversitesi,23,BAHÇELİEVLER,2
2019,2,Trabzon Üniversitesi,20,PENDİK,1
2020,1,İstanbul Medeniyet Üniversitesi,18,ÜSKÜDAR,2
2020,1,Manisa Celâl Bayar Üniversitesi,22,ARNAVUTKÖY,2
2020,1,İstanbul Teknik Üniversitesi,19,ÇATALCA,1
2019,1,İstanbul Medipol Üniversitesi,19,ESENLER,1
2020,1,Galatasaray Üniversitesi,20,KARTAL,1
2020,1,Trakya Üniversitesi,18,SULTANBEYLİ,1
2019,1,Düzce Üniversitesi,21,KAĞITHANE,3
2019,1,Kocaeli Üniversitesi,22,KÜÇÜKÇEKMECE,4
2019,1,Tekirdağ Namık Kemal,20,ÇATALCA,1
2019,1,Bursa Uludağ Üniversitesi,23,SİLİVRİ,1
2020,1,Zonguldak Bülent Ecevit Üniversitesi,25,SANCAKTEPE,1
2020,1,Biruni Üniversitesi,22,PENDİK,1
2019,2,Sakarya Uygulamalı Bilimler Üniversitesi,21,BEYKOZ,3
2019,2,Biruni Üniversitesi,20,BAĞCILAR,2
2019,2,Sakarya Üniversitesi,25,ESENLER,1
2019,1,İstanbul Medipol Üniversitesi,21,BAĞCILAR,6
2019,2,Marmara Üniversitesi,19,AVCILAR,3
2019,2,Bolu Abant İzzet Baysal Üniversitesi,21,ÜSKÜDAR,3
2019,1,İzmir Katip Çelebi Üniversitesi,20,PENDİK,1
2019,1,Kütahya Dumlupınar Üniversitesi,22,ESENYURT,2
2020,1,Tekirdağ Namık Kemal,18,BAĞCILAR,3
2020,1,İstanbul Ticaret Üniversitesi,20,TUZLA,1
2020,1,Yozgat Bozok Üniversitesi,20,KAĞITHANE,1
2019,1,Manisa Celâl Bayar Üniversitesi,21,SULTANGAZİ,1
2019,2,Fırat Üniversitesi,20,BAHÇELİEVLER,2
2020,1,Kütahya Dumlupınar Üniversitesi,22,BAĞCILAR,3
2019,2,İnönü Üniversitesi,23,GAZİOSMANPAŞA,2
2020,1,Aydın Adnan Menderes,21,GÜNGÖREN,1
2020,1,İstanbul Sağlık ve Teknoloji Üniversitesi,20,BEYOĞLU,1
2020,1,Gebze Teknik Üniversitesi,19,ÜSKÜDAR,3
2019,2,Sağlık Bilimleri Üniversitesi,19,GÜNGÖREN,1
2019,2,Tokat Gaziosmanpaşa,20,ARNAVUTKÖY,1
2019,2,Yalova Üniversitesi,20,ÜSKÜDAR,4
2020,1,Ankara Hacı Bayram Veli Üniversitesi,21,ESENYURT,1
2020,1,Ege Üniversitesi,22,ÜSKÜDAR,2
2019,1,Muğla Sıtkı Koçman Üniversitesi,22,BAŞAKŞEHİR,1
2019,2,Sivas Cumhuriyet Üniversitesi,20,PENDİK,2
2019,1,Marmara Üniversitesi,20,BEYOĞLU,5
2019,2,İstanbul Medipol Üniversitesi,22,KAĞITHANE,1
2020,1,Ankara Üniversitesi,19,ESENLER,2
2020,1,Batman Üniversitesi,21,ARNAVUTKÖY,1
2019,2,İstanbul Aydın Üniversitesi,21,ÜSKÜDAR,1
2020,1,Hitit Üniversitesi,19,ÜMRANİYE,1
2020,1,İstanbul Medipol Üniversitesi,24,BAĞCILAR,1
2019,2,İstanbul Üniversitesi-Cerrahpaşa,23,AVCILAR,3
2020,1,Ankara Üniversitesi,18,ARNAVUTKÖY,1
2020,1,Akdeniz Üniversitesi,24,SULTANGAZİ,1
2020,1,Sağlık Bilimleri Üniversitesi,21,SULTANBEYLİ,4
2019,2,Çanakkale Onsekiz Mart Üniversitesi,22,BAHÇELİEVLER,2
2019,2,İstanbul Üniversitesi,23,ÜSKÜDAR,13
2020,1,Sakarya Uygulamalı Bilimler Üniversitesi,18,KARTAL,1
2020,1,Ege Üniversitesi,24,KADIKÖY,1
2020,1,Hacettepe Üniversitesi,25,GÜNGÖREN,1
2020,1,Karamanoğlu Mehmetbey Üniversitesi,22,BAĞCILAR,1
2020,1,İstanbul Üniversitesi,21,GAZİOSMANPAŞA,20
2019,1,İstanbul Üniversitesi,23,AVCILAR,3
2020,1,Bursa Teknik Üniversitesi,21,TUZLA,1
2020,1,Abdullah Gül Üniversitesi,18,ÜMRANİYE,3
2019,2,Tokat Gaziosmanpaşa,22,SULTANGAZİ,2
2020,1,Yozgat Bozok Üniversitesi,21,ESENYURT,1
2020,1,Yıldız Teknik Üniversitesi,21,BAĞCILAR,19
2020,1,Nişantaşı Üniversitesi,20,FATİH,2
2020,1,Anadolu Üniversitesi,19,BEYLİKDÜZÜ,1
2019,2,Bartın Üniversitesi,20,BAHÇELİEVLER,3
2019,1,Demiroğlu Bilim Üniversitesi,21,KAĞITHANE,1
2019,2,Marmara Üniversitesi,25,ZEYTİNBURNU,1
2020,1,Harran Üniversitesi,23,ARNAVUTKÖY,1
2019,1,Ankara Hacı Bayram Veli Üniversitesi,25,KAĞITHANE,1
2019,1,Tekirdağ Namık Kemal,26,ESENYURT,2
2019,2,Atatürk Üniversitesi,21,SULTANBEYLİ,3
2019,1,Marmara Üniversitesi,21,ŞİŞLİ,5
2020,1,Kırıkkale Üniversitesi,22,ESENLER,1
2019,2,Alanya Alaaddin Keykubat Üniversitesi,20,BAYRAMPAŞA,1
2020,1,Bezm-İ Âlem Vakıf Üniversitesi,22,BAĞCILAR,2
2020,1,Eskişehir Osmangazi Üniversitesi,21,EYÜPSULTAN,2
2019,1,Burdur Mehmet Akif Ersoy Üniversitesi,21,BEYOĞLU,1
2019,2,Tekirdağ Namık Kemal,22,SANCAKTEPE,1
2019,1,Trakya Üniversitesi,24,GAZİOSMANPAŞA,2
2020,1,Boğaziçi Üniversitesi,18,ATAŞEHİR,1
2019,1,Karamanoğlu Mehmetbey Üniversitesi,19,EYÜPSULTAN,1
2019,1,Sakarya Üniversitesi,22,KÜÇÜKÇEKMECE,3
2020,1,Tekirdağ Namık Kemal,22,SULTANBEYLİ,6
2020,1,İstanbul Üniversitesi-Cerrahpaşa,23,ESENLER,4
2020,1,Trakya Üniversitesi,20,BEŞİKTAŞ,1
2019,2,Kırıkkale Üniversitesi,20,SANCAKTEPE,1
2019,1,Biruni Üniversitesi,22,FATİH,1
2019,1,Erciyes Üniversitesi,20,KÜÇÜKÇEKMECE,1
2019,1,Bezm-İ Âlem Vakıf Üniversitesi,21,KAĞITHANE,1
2019,1,Mimar Sinan Güzel Sanatlar Üniversitesi,23,BEŞİKTAŞ,1
2020,1,İstanbul Kültür Üniversitesi,20,ESENLER,1
2019,2,Yalova Üniversitesi,21,MALTEPE,1
2019,1,Tekirdağ Namık Kemal,21,GÜNGÖREN,3
2020,1,Yıldız Teknik Üniversitesi,21,BEYKOZ,1
2020,1,İstinye Üniversitesi,21,SULTANGAZİ,3
2019,1,İstanbul Üniversitesi-Cerrahpaşa,19,ARNAVUTKÖY,1
2020,1,İstanbul Medeniyet Üniversitesi,21,BAYRAMPAŞA,2
2020,1,Nişantaşı Üniversitesi,20,KARTAL,1
2020,1,Bezm-İ Âlem Vakıf Üniversitesi,22,BEYKOZ,1
2019,2,Sinop Üniversitesi,23,PENDİK,1
2020,1,Haliç Üniversitesi,21,ÜSKÜDAR,1
2020,1,Bahçeşehir Üniversitesi,23,BEYKOZ,1
2019,1,Bezm-İ Âlem Vakıf Üniversitesi,23,BAHÇELİEVLER,1
2020,1,Bolu Abant İzzet Baysal Üniversitesi,21,BAŞAKŞEHİR,2
2019,2,İstanbul Gelişim Üniversitesi,23,BAYRAMPAŞA,1
2020,1,Piri Reis Üniversitesi,21,EYÜPSULTAN,1
2019,2,Sinop Üniversitesi,22,GAZİOSMANPAŞA,1
2020,1,İstanbul Üniversitesi,22,PENDİK,15
2020,1,İstanbul Medipol Üniversitesi,21,GAZİOSMANPAŞA,4
2020,1,Çanakkale Onsekiz Mart Üniversitesi,22,BAĞCILAR,16
2020,1,Kırklareli Üniversitesi,24,BAHÇELİEVLER,3
2020,1,Kütahya Sağlık Bilimleri Üniversitesi,19,PENDİK,1
2019,1,İstanbul Kent Üniversitesi,21,KÜÇÜKÇEKMECE,1
2019,1,İstanbul Aydın Üniversitesi,21,BEYLİKDÜZÜ,1
2019,2,İstanbul Sabahattin Zaim Üniversitesi,23,BAHÇELİEVLER,1
